t,spot_price,act_dol,act_ETH,net_worth,profit,threshold,target_price,price_gap,fees,spent,gains,profit
8556,367.04,715495.1766250008,720,979763.9766250008,-20236.023374999175,1.28464,364.3014999999999,2.7385000000001014,5869.5733749999945,1313232.3000000003,1034597.0500000018,-284504.82337499846
8557,367.04,717325.7886250007,715,979759.3886250008,-20240.611374999164,1.28464,364.3828000000001,2.657199999999932,5874.161374999994,1313232.3000000003,1036432.2500000017,-282674.2113749985
8558,367.01,719156.2510000007,710,979733.3510000007,-20266.648999999277,1.284535,364.4697,2.540300000000002,5878.748999999994,1313232.3000000003,1038267.3000000018,-280843.7489999985
8559,367.01,720986.7133750007,705,979728.7633750008,-20271.236624999205,1.284535,364.5534000000001,2.4565999999998667,5883.3366249999945,1313232.3000000003,1040102.3500000018,-279013.28662499844
8560,367.01,722817.1757500008,700,979724.1757500008,-20275.82424999925,1.284535,364.6360000000001,2.37399999999991,5887.924249999995,1313232.3000000003,1041937.4000000019,-277182.8242499984
8561,366.49,724645.0446250008,695,979355.5946250008,-20644.405374999158,1.282715,364.7212000000001,1.7687999999998851,5892.505374999994,1313232.3000000003,1043769.8500000018,-275354.95537499845
8562,366.01,724645.0446250008,695,979021.9946250007,-20978.00537499925,1.281035,364.80080000000004,1.209199999999953,5892.505374999994,1313232.3000000003,1043769.8500000018,-275354.95537499845
8563,366.18,726471.3673750008,690,979135.5673750008,-20864.4326249992,1.28163,364.8758,1.3041999999999803,5897.082624999995,1313232.3000000003,1045600.7500000019,-273528.6326249984
8564,366.58,728299.6851250009,685,979406.9851250008,-20593.01487499918,1.28303,364.9525,1.6274999999999977,5901.664874999995,1313232.3000000003,1047433.6500000019,-271700.3148749984
8565,366.59,730128.0527500008,680,979409.2527500008,-20590.7472499992,1.283065,365.0332,1.5567999999999529,5906.247249999995,1313232.3000000003,1049266.600000002,-269871.94724999834
8566,366.59,731956.4203750008,675,979404.6703750008,-20595.329624999198,1.283065,365.11229999999995,1.477700000000027,5910.829624999995,1313232.3000000003,1051099.550000002,-268043.5796249984
8567,366.86,733786.1346250008,670,979582.3346250008,-20417.665374999167,1.28401,365.18969999999996,1.6703000000000543,5915.415374999995,1313232.3000000003,1052933.850000002,-266213.8653749983
8568,367.32,735618.1431250008,665,979885.9431250007,-20114.05687499931,1.28562,365.2698,2.050200000000018,5920.0068749999955,1313232.3000000003,1054770.450000002,-264381.85687499825
8569,367.32,737450.1516250008,660,979881.3516250007,-20118.64837499929,1.28562,365.35049999999995,1.969500000000039,5924.598374999996,1313232.3000000003,1056607.0500000021,-262549.84837499814
8570,367.32,739282.1601250008,655,979876.7601250007,-20123.23987499927,1.28562,365.42909999999995,1.8909000000000447,5929.189874999996,1313232.3000000003,1058443.6500000022,-260717.83987499803
8571,367.49,741115.0165000007,650,979983.5165000007,-20016.483499999274,1.286215,365.50769999999994,1.9823000000000661,5933.783499999997,1313232.3000000003,1060281.1000000022,-258884.98349999808
8572,367.62,742948.5212500007,645,980063.4212500007,-19936.578749999288,1.28667,365.58259999999996,2.037400000000048,5938.378749999997,1313232.3000000003,1062119.2000000023,-257051.478749998
8573,367.68,744782.3252500007,640,980097.5252500006,-19902.474749999354,1.28688,365.65479999999997,2.0252000000000407,5942.974749999997,1313232.3000000003,1063957.6000000022,-255217.67474999808
8574,367.60,746615.7302500007,635,980041.7302500007,-19958.26974999928,1.2866000000000002,365.7245,1.875500000000045,5947.569749999997,1313232.3000000003,1065795.6000000022,-253384.2697499981
8575,368.67,748454.4718750007,630,980716.5718750007,-19283.42812499928,1.290345,365.78939999999994,2.880600000000072,5952.178124999997,1313232.3000000003,1067638.9500000023,-251545.528124998
8576,368.48,750292.2658750007,625,980592.2658750007,-19407.73412499926,1.2896800000000002,365.8621,2.61790000000002,5956.7841249999965,1313232.3000000003,1069481.3500000022,-249707.7341249981
8577,368.54,752130.3591250008,620,980625.1591250008,-19374.84087499918,1.2898900000000002,365.9318999999999,2.6081000000000927,5961.390874999996,1313232.3000000003,1071324.0500000021,-247869.64087499812
8578,368.45,753968.0035000008,615,980564.7535000008,-19435.246499999193,1.289575,366.00230000000005,2.4476999999999407,5965.996499999997,1313232.3000000003,1073166.3000000021,-246031.99649999815
8579,368.41,755805.4483750009,610,980535.5483750008,-19464.451624999172,1.289435,366.07539999999995,2.33460000000008,5970.601624999997,1313232.3000000003,1075008.3500000022,-244194.5516249981
8580,368.41,757642.8932500009,605,980530.943250001,-19469.056749999058,1.289435,366.14590000000004,2.264099999999985,5975.206749999997,1313232.3000000003,1076850.4000000022,-242357.10674999803
8581,368.56,759481.0862500009,600,980617.0862500009,-19382.913749999134,1.28996,366.2164000000001,2.343599999999924,5979.813749999997,1313232.3000000003,1078693.2000000023,-240518.913749998
8582,368.53,761319.1296250009,595,980594.4796250009,-19405.52037499915,1.289855,366.2891,2.2408999999999537,5984.420374999997,1313232.3000000003,1080535.8500000022,-238680.87037499808
8583,368.53,763157.1730000009,590,980589.8730000008,-19410.126999999164,1.289855,366.35960000000006,2.1703999999999155,5989.026999999997,1313232.3000000003,1082378.500000002,-236842.8269999982
8584,367.99,764992.5231250009,585,980266.6731250009,-19733.326874999097,1.287965,366.42839999999995,1.5616000000000554,5993.626874999997,1313232.3000000003,1084218.450000002,-235007.47687499822
8585,367.53,764992.5231250009,585,979997.5731250008,-20002.42687499919,1.286355,366.4817999999999,1.0482000000000653,5993.626874999997,1313232.3000000003,1084218.450000002,-235007.47687499822
8586,367.53,764992.5231250009,585,979997.5731250008,-20002.42687499919,1.286355,366.50759999999997,1.0224000000000046,5993.626874999997,1313232.3000000003,1084218.450000002,-235007.47687499822
8587,367.01,764992.5231250009,585,979693.3731250009,-20306.626874999143,1.284535,366.53839999999997,0.47160000000002356,5993.626874999997,1313232.3000000003,1084218.450000002,-235007.47687499822
8588,367.01,764992.5231250009,585,979693.3731250009,-20306.626874999143,1.284535,366.5593999999999,0.4506000000000654,5993.626874999997,1313232.3000000003,1084218.450000002,-235007.47687499822
8589,367.01,764992.5231250009,585,979693.3731250009,-20306.626874999143,1.284535,366.57419999999996,0.43580000000002883,5993.626874999997,1313232.3000000003,1084218.450000002,-235007.47687499822
8590,366.86,764992.5231250009,585,979605.6231250009,-20394.376874999143,1.28401,366.5862,0.27379999999999427,5993.626874999997,1313232.3000000003,1084218.450000002,-235007.47687499822
8591,366.86,764992.5231250009,585,979605.6231250009,-20394.376874999143,1.28401,366.5976000000001,0.26239999999990005,5993.626874999997,1313232.3000000003,1084218.450000002,-235007.47687499822
8592,366.86,764992.5231250009,585,979605.6231250009,-20394.376874999143,1.28401,366.6077,0.2522999999999911,5993.626874999997,1313232.3000000003,1084218.450000002,-235007.47687499822
8593,366.86,764992.5231250009,585,979605.6231250009,-20394.376874999143,1.28401,366.61780000000005,0.24219999999996844,5993.626874999997,1313232.3000000003,1084218.450000002,-235007.47687499822
8594,366.86,764992.5231250009,585,979605.6231250009,-20394.376874999143,1.28401,366.6414,0.21860000000003765,5993.626874999997,1313232.3000000003,1084218.450000002,-235007.47687499822
8595,366.86,764992.5231250009,585,979605.6231250009,-20394.376874999143,1.28401,366.665,0.19499999999999318,5993.626874999997,1313232.3000000003,1084218.450000002,-235007.47687499822
8596,366.86,764992.5231250009,585,979605.6231250009,-20394.376874999143,1.28401,366.6925,0.1675000000000182,5993.626874999997,1313232.3000000003,1084218.450000002,-235007.47687499822
